question,option_0,option_1,option_2,option_3,answer,remark
"在市政厅项目会议期间,市长提出翻新该城市中央公园的建议。一些商店业主请求提供每周项目进度报告。项目经理应更新哪一项内容?During a city hall project meeting,the mayor presents a proposal to refurbish the city`'s central park.Several store owners request weekly project progress reports. What should the project manager update?",相关方参与计划 Stakeholder engagement plan.,沟通管理计划 Communications management plan.,工作说明书(SOW) Statement of work(SOW).,项目调试计划 Project commissioning plan.,B,PMBOK（6）P377-10.1.3.1沟通管理计划，沟通管理计划中包括：需沟通的信息、上报步骤、项目信息流向图等。 题干聚焦在了“每周项目进度报告”，这是对信息的要求，所以是沟通管理计划，排除AC。D没有这个说法。
"在风险管理规划期间，项目团队决定外包一项关键服务，并与供应商签订了服务水平协议(SLA),项目团队使用的是哪一项风险应对策略？During the risk control planning process, the project team decides to outsource a key service and sign a service level agreement (SLA) with the supplier. Which risk response strategy does the project team use?",回避 Avoidance,减轻 Mitigation,接收 Acceptance,转移 Transfer,D,PMBOK(6)P442- 11.5.2.4威胁应对策略。外包属于转移风险。通过签订协议，把具体风险的归属和责任转移给第三方。
"敏捷团队正在根据商业分析师团队提供的用户故事开发产品。在第四次冲刺之后，相关方举行了一次演示，其中三个已完成的故事获得通过，其余两个故事未能满足相关方的期望，项目经理应该怎么做？An Agile teams is working on product according to the user stories provided by a team of business analysts. After the fourth sprint, a demo for stakeholders is held and Three completed stories pass, The remaining two stories fail to meet stakeholders expectations. What should the project manager do?",要求商业分析师开发新的用户故事 Ask the business analysts to develop new user stories,审查用户故事并签发变更请求 Review the user stories and issue a change request,"确认相关方的期望，然后更新并重新编写用户故事 Confirm stakeholder expectations, then update and rework the user stories",启动一个新项目，将修订后的用户故事纳入工作范围 Initiate a new project to incorporate revised user stories into the scope of work,C,在敏捷方法中，用户故事未通过，要重新梳理相关方的期望，并重新编写用户故事。 选项A：商业分析师负责收集需求 选项B：用户故事没有满足相关方的需求，需要重新开发。 选项D：没有进入到收尾阶段。
"在识别除项目经理之外的五名相关方之后，项目经理现在需要确定项目沟通的复杂性，潜在沟通渠道有多少？After identifying five stakeholders besides the project manager, the project manager now needs to determine the complexity of the project communication, how many potential communication channels are there?",20,15,10,55,B,PMBOK(6)P369-10.1.2.2 沟通需求分析，沟通渠道数。潜在沟通渠道数为n(n-1)/2，n代表相关方数量。此题6*5/2=15。注：项目经理也要算进去。
"相关方表示非常担心某一非集中办公团队对项目期望和指示的理解，因为有之前与该团队合作导致返工的经验，项目经理应该釆用什么样的沟通方法来解决这个问题？Stakeholders expressed concerns about a non-co-located team’s understanding of expectations and instructions ,as previous experience with this team have resulted in rework, what communication method should the project manager implement to address this?",推式沟通 Push communication,集中沟通 Mass,拉式沟通 pull,交互式沟通 Interactive,D,PMBOK（6）P374-10.1.2.5沟通方法。在两方或多方之间进行的实时多向信息交换，适合采用交互式沟通（互动沟通）。 选项A：能够确保信息发送，但是不能确保信息接受的结果。 选项C：适用于大信息量的传递。
"创建工作分解结构（WBS）时，项目经理必须分解一项名为“招标”的任务。项目经理使用什么来进一步细分任务？While creating a work breakdown structure (WBS), a project manager must decompose a task titled “solicit bids.”What can the project manager use to further subdivide the task?",石川图 Ishikawa diagram,关键链法(CCM) Critical chain method (CCM),专家判断 Expert judgment,类比估算 Analogous estimating,C,PMBOK（6）P156-5.4.2.1 专家判断。此题考察的是创建WBS的工具，只有C对。
"公司正在开发一些新产品，在测试阶段，客户发现该产品的一个严重缺陷。项目经理应该使用什么来确定合适的解决方案？A company is developing a new produce.During the testing stage,customers identify a serious defect with it. What should the project manager use to determine an appropriate solution?",因果图 Cause-and-effect diagram,六西格玛 Six Sigma,专家判断 Expert judgement,面向X的设计 Design for X,A,PMBOK(6)P293- 8.2.2.4因果图。因果图，又称“鱼骨图”、“why-why分析图”或“石川图”，将问题陈述的原因分解为离散的分支，有助于识别问题的主要原因或根本原因。发现了一个严重问题，要先分析原因，因此选择因果图。
"项目经理加入一个项目，但项目团队缺乏必要的技能来产生一个关键可交付成果。项目经理应该怎么做？The project manager joins a project, but the project team lacks the necessary skills to create a key deliverable. What should the project manager do?",将该可交付成果分配给一名拥有学习新技能能力的团队成员 To assign the deliverables to a team member who is capable of learning new skills,与项目发起人协商，聘请拥有必要技能的外部资源 To negotiate with the project sponsor to hire external resources with the necessary skills,终止执行项目，直到必要的资源出现 To terminate the project execution until the necessary resources appear,将培训作为项目管理计划中项目工作的组成部分 To include training as part of the project works in the project management plan,D,PMBOK(6)P342- 9.4.2.6培训。技能的问题，都可以通过培训来解决。培训的时间与成本也要纳入项目管理计划。 其他选项：看到技能优先培训，ABC的优先级没有D高。
"在项目测试期间，识别到多个缺陷。由于团队还在解决积压的缺陷，测试将会超支的风险现在已经增加。 项目经理应该怎么做？During project testing,numerous defects are identified.Since a backlog of defects is already being addressed by the team,the risk that testing will overrun has now increase What should the project manager do?",将该问题上报给项目发起人 Escalate the issue to the project sponsor.,采用冲突管理技术来审查和确定缺陷的优先级 Adopt conflict management techniques to review and prioritize defects.,提交变更请求来解决缺陷 Submit change requests to resolve the defects.,请求额外的资源来处理缺陷积压 Request additional resources to work on the defect backlog.,C,PMBOK（6）P306-8.3.3.4变更请求。通过变更的方式来对缺陷进行补救。 选项AD：在对缺陷补救的时候，对积压的风险进行跟踪评估，制定应急计划。至于是否上报还是求助额外额度资源要依据评估的结果。 选项B：冲突管理通常用于团队内部，缺陷积压的问题根据评估的结果制定应对策略。
一位产品负责人在一个房间里放置了五台笔记本电脑，并邀请了四位不同的终端用户来测试新系统的性能。项目组的开发人员也被邀请到房间观察用户，做笔记并回答基本问题。场景中描述了以下哪些敏捷技术和工具？A product owner has set up a room with five laptops and invited four different end-users to test the capabilities of a new system. The developers from the project team have been invited in the room to observe the users take notes and answer the basic questions. Which of the following agile techniques and tools has been described in the scenario?,可用性测试 Usability testing,自动化测试 Automated testing,脚本测试 Scripted tests,探索性测试 Testing exploratory testing,A,《敏捷实践指南》，5.2.7.帮助团队交付价值的执行实践，P56。题干中的关键句是“邀请了四位不同的终端用户来测试新系统的性能”。根据关键字，可以首先排除选项B和选项C，“自动化测试”和“脚本测试”是通过运行提前编写好的工具或者程序来对产品功能进行测试，并不依赖测试者的直接操作，因此排除。选项A正确。“可用性测试”是测试者对产品进行测试。此测试的主要目标是确定终端用户使用系统的难易程度，并发现可能导致系统重新设计的可用性问题或缺陷，与题干描述相符合。选项D错误。“探索性测试“更多的是一种思维，它没有很具体的测试方法、技术和工具，更依赖测试人员的主观性。而题干中描述了四位终端用户要用笔记本电脑来测试新系统的性能，已经有很具体的测试操作和测试方法，因此排除。
"上一次冲刺回顾之后，你与团队决定开始用迭代方法完成更改和流程改进。你应该使用以下哪种方法或工具?After your recent sprint retrospective, you’ve decided with the team to start implementing changes and process improvements in an iterative approach. Which of the following methodologies/tools should you use?","PDCA(计划、执行、检查、行动) PDCA (Plan, Do, Check, Act)",根本原因分析 Root Cause Analysis,全面生产维护(TPM) Total Productive Maintenance (TPM),价值流程图 Value Stream Mapping,A,PMBOK(6)第275页，PDCA是持续改进的基本方法，通过这个质量改进举措可以提高项目管理的质量以及最终产品、服务或成果的质量。选项B：根本原因分析关注识别问题的主要原因，它可用于识别出现偏差的原因以及项目经理为达成项目目标应重点关注的领域。选项C：TPM活动就是通过全员参与，并以团队工作的方式，创建并维持优良的设备管理系统，提高设备的开机率（利用率），增进安全性及高质量，从而全面提高生产系统的运作效率。选项D：价值流程图运用精益制造的工具和技术来帮助企业理解和精简生产流程。
"项目团队未能监督一项高风险,因此未能按时执行减轻措施,项目经理指示团队立即执行该措施,但另一位经理否决了这一指示,因为对项目没有造成负面影响。项目经理下一步应该做什么?A project team failed to monitor a high risk,so the mitigation action was not performed on time.The project manager instructs the team to perform the action immediately,but anther manger overrules that since there was no negative impact. What should the project manager do next?",提交变更请求 Submit a change request.,询问团队未能监督风险的原因 Ask the team why the risk was not monitored,与团队一起重新评估风险 Reassess the risk with the team.,遵循经理的指示 Follow the manger's instructions.,C,PMBOK(6)P457- 11.7.2.3 风险审查会。在风险审查中，还可以识别出新的单个项目风险（包括已商定应对措施所引发的次生风险），重新评估当前风险。此风险没有影响，需要重新评估此风险。 其他选项：先重新评估，再采取AD的措施。B后面再说。
一位新的高级经理被授予监督多个项目的职责。经理要求敏捷项目领导提交月度报告，总结项目目前状态和预测完成的日期。以下哪项是项目负责人回应经理要求的最佳方式？A new senior manager has been given the responsibility of overseeing several projects. The manager asks an agile leader to share the monthly report summarizing the project status and the forecasted finish date. Which of the following is the best way in which the project leader should respond to the request of the manager?,建议高级经理参加每日站会 Suggest the senior manager attend the daily standup meetings,与经理分享项目燃尽图 Share the project burndown chart with the manager,要求高级经理使用EVM监控项目进度 Ask the senior manager to use EVM to monitor the project progress,按照高级经理的要求提供项目状态的详细报告 Provide a detailed report of the project status as asked by the senior manager,B,《敏捷实践指南》第64页。燃尽图是剩余工作与时间盒内剩余时间关系的一种图形化表示形式。团队能通过燃尽图看到在迭代过程中完成的工作，使用燃尽图查看项目随时间的进展情况。相关方可以通过这个方式来了解项目的进展情况。题干中的关键字“敏捷项目领导”说明这是一个敏捷项目，敏捷项目通过燃尽图/燃起图来跟踪和监督团队进度和项目状态，选项B正确。每日站会主要是团队成员回顾前一天的进展、宣布当天的计划、强调曾遇到或预期出现的障碍，高级管理层不需要了解到那么详细，选项A不正确。EVM技术和项目状态详细报告都是传统项目中对项目的监控方法，排除选项CD。
"在职能团队交付产品后，项目经理使用统计抽样和检查来确定产品是否达到预期需求。 这个过程的输出是什么？After a functional team delivers the product, the project manager uses statistical sampling and inspection to determine if the product performs as expect. What is the output of this process?",项目范围说明书 Project scope statement,质量测量指标 Quality metrics,核实的可交付成果 Verified deliverables,质量审计报告 Quality audit report,C,PMBOK(6)P305-8.3.3.2控制质量的输出-核实的可交付成果。批量的产品的质量，是通过抽样来进行检验的，检验结束合格后，可交付成果就变成了核实的可交付成果。 其他选项：ABD都不是检验以后的输出，检验针对的是可交付成果的检验。
你刚加入一家软件公司，在编写任何代码之前，公司要求完成完整的需求了解和设计阶段。这样的交付过程符合以下哪一项?You have newly joined a software house that requires going through the complete requirements and design phases before any code is written. Such a delivery process is aligned with which of the following?,敏捷宣言。 Agile Manifesto.,预测型生命周期。 Predictive Life Cycle.,计划-执行-检查-行动。 Plan-Do-Check-Act.,大规模敏捷框架(SAFeR) Scaled Agile Framework (SAFe®),B,《敏捷实践指南》第20页。预测型生命周期是一种更传统的方法，团队在项目开始时创建详细的需求和计划，然后一次性执行，执行是一个连续的过程。题干“编写任何代码之前，公司要求完成完整的需求了解和设计阶段”，说明该项目采用预测型生命周期，选项B正确。选项A：敏捷宣言的价值观之一是“应对变更而不是遵循计划”，敏捷欢迎对需求提出变更，帮助客户获得竞争优势。选项C：PDCA是一个持续改进的基本方法，与题意不符。选项D：大规模敏捷框架专注于在项目组合、项目集和团队层详细设定实践、角色和活动，强调围绕专注于向客户提供持续价值的价值流来组织企业。选项BCD均不符合题干描述。
"项目已准备好收尾,但审计认为组织归档程序存在缺陷。由于发起人对归档不感兴趣,项目经理接下来应该做什么?A project is ready for closure,but adults determine that there are defects in organizational archiving procedures.Since the sponsor is uninterested in arching.What should the project manager do next?",与所有相关方开会 Meet with all stakeholders.,更新组织归档标准 Update organizational archiving standards.,项目收尾 Close the project.,聘请归档专家 Hire archiving experts.,B,PMBOK(6)4.7 结束项目或阶段。项目审计发现问题，就解决问题，更新归档相关的标准程序。 其他选项：A没有必要 ，C不能忽略审计的问题，D主要是程序问题，改进就好了。
"你是健康信息管理界面的测试员。你正处于重要发布之前的第三个冲刺阶段，你的团队在测试期间使用的服务器出现不稳定（测试是完成定义的一部分）。团队本身无法控制这些服务器，这是运营副总裁的职责。你认为处理这种情况的最佳方法是什么？You’re a tester for a health information management interface. You’re in the middle of a 3rd sprint before a significant release, and you’re facing unstable production servers that the team is using during testing (as part of its definition of done). The group itself had no control over these servers — that is the responsibility of the VP of Operations. What do you think the best approach to handle this situation?",Scrum主管应该与运营副总裁以及其他可以解决服务器稳定性的人员合作，牵头提高服务器的稳定性。 The Scrum Master should take ownership of improving the server stability by working with the VP of Operations and others who could do something about the stability issue.,测试团队应该与运营副总裁和其他人一起解决这个问题，接受自我组织的敏捷价值观。 The testing team should work on this with the VP of Operations and others to embrace the self-organizing agile values.,产品负责人必须帮忙更换故障服务器，因为这是他所负责的产品的一部分。 The product owner must help change the faulty servers as it is part of the product that he is accountable for.,职能团队经理必须将整个问题上报给CEO。 Functional team managers must escalate the whole issue to the CEO.,A,敏捷实践指南，P35-4.2.1.2 仆人式领导消除组织障碍。Scrum主管作为团队促进者，是仆人式领导。仆人式领导应该关注其他冗长的过程，这些过程往往造成瓶颈问题，阻碍团队或组织的敏捷性。可能需要处理的过程或部门的例子包括，财务部门、变更控制委员会或审计部门。仆人式领导可以与他人携手合作，共同质疑和审核他们的过程，为敏捷团队和领导提供支持。Scrum主管作为团队促进者，也是一种仆人式领导，当团队被本身无法控制的障碍困住时，Scrum主管应该要帮助团队清楚障碍。
"项目团队正在研究一个项目的新批准范围，监管团队在变更方面提供的意见是不可或缺的。但是，该团队发现监管部门未被列为项目相关方。 项目经理下一步应该怎么做？A project team is working on a project’s new approved scope. The regulatory team was integral in providing input that necessitated this change. However, the team discovers that the regulatory department was not listed as a project stakeholder. What should the project manager do next?",指示项目团队确认是否需要进行这项变更 Instruct the project team to verify the need for this change.,创建一项新的变更请求并确保监管团队参与这个过程 Create a new change request and ensure that the regulatory team is involved in the process.,"收集监管团队的进一步意见,并更新现有变更请求以反映新信息 Gather further input from the regulatory team and update the existing change request to reflect the new information.",确保监管团队包含在变更控制委员(CCB) 中 Ensure that the regulatory team is included in the change control boar,B,PMBOK(6)P535-13.4.3.2 监督相关方参与输出-变更请求。变更请求可能包括用于改善相关方当前参与水平的纠正及预防措施。监管部门未被列为项目相关方，相关方识别有问题，应该创建一个新的变更请求，还不是去直接更新现有的变更请求。其他选项：A，由项目团队确认不正确。C不能直接就更新变更请求，应发起新的变更请求。D，没有B全面，要发起新的变更。
"一家公司正在进行重组，虽然并不是所有新职位都是已知的，但是组织变更情况已经传达,项目经理应该怎么做？A company is going through a reorganization.Although not all new positions are known yet,organizational changes are already being communicate What should the project manager do?","在风险管理计划中更新潜在的未来相关方变更 Update the risk management plan with potential future stakeholder changes,",在相关方登记册中更新已知的信息 Update the stakeholder register with the information that is already available.,与关键相关方的期望保持一致 Align expectations with key stakeholders.,通知所有相关方当前项目状态 Inform all stakeholders about the current project status.,B,PMBOK(6)P536- 13.4.1.4 项目文件更新-相关方登记册。 公司重组、换人、项目进入不同阶段，优先更新相关方登记册。
"项目经理正在管理一个由跨职能团队执行的软件重新设计项目。该公司正在进行敏捷转型，项目管理办公室(PMO)发布了更新后的政策和程序，要求将当前项目迭代开发整合到项目管理方法中。若要确保每次迭代交付都考虑质量，项目经理应该怎么做？A project manager is leading a software redesign project with a cross-functional team. The company is undergoing an agile transformation, and the project management office (PMO) has released updated policies and procedures that require current projects to integrated iterative development into project management approaches. What should the project manager do to ensure that quality is incorporated into each iteration of delivery?",与相关方以及和项目团队合作，以确保有明确定义的“已完成”定义(DoD) Work with stakeholders and the project team to ensure that there is a clearly a defined definition of done(DoD),将测试和验证活动分配给具有功能背景的团队成员 Assign testing and validation activities to team members with a functional background,安排该项目最后一次迭代的所有测试活动，以便整个团队可以关注同一目标 Schedule all testing activities for the last iteration of the project so the entire team can focus on the same goal,分配专门的软件测试人员，以确保在整个项目生命周期中进行测试 Assign a dedicated software tester to ensure that testing occurs throughout the project’s life cycle,A,敏捷实践 DoD完成的定义，属于敏捷实践，首先明确定义“完成”，然后开发团队在某个冲刺中必须完成。质量标准也在DoD中被定义 其他选项：BCD都非敏捷实践。
"你的团队未能在最后几次迭代上履行迭代的承诺，且与团队讨论后，看起来团队也无法履行发布承诺。你将做什么？For the last few iterations your team has not been able to keep up the commitments of the iteration. Judging by this, and discussions with the team, it seems that the team will not be able to meet the release commitment. What is your next step?",安排与发起人和产品负责人的电话会议，解释情况 Schedule a conference call with the sponsor and product owner to explain the situation,准备一份详细的报告以及情况的根本原因分析（ RCA）并分享。Prepare a detailed report along with the RCA of the situation and share,向产品负责人发送电子邮件，告知他情况并听取他的指导 Send an email to product owner informing him of the situation and taking his guidance,安排与产品负责人和团队的面对面讨论，并规划下一步 Schedule a face to face discussion with the product owner and team and plan the next steps,D,参见《敏捷实践指南》敏捷12原则：6、无论是对开发团队还是团队内部，信息传达最有效的方法都是面对面的交谈。PO最终确定工作是否能完成，所以出现无法履行发布承诺的时候，最好的解决办法就是和PO面对面商量对策。A选项，应该先和PO商量对策，再决定是否要找发起人。B选项，比起分享报告，面对面沟通更有效C选项，发邮件属于沟通方法中的推式沟通，可以确保信息的发送，但不能确保信息送达目标受众或被目标受众理解。
项目经理需要从不同职能经理那里招募团队成员，查阅完资源日历后，项目经理接下来应使用什么？Project manager needs to recruit team members from different functional managers，after review the resource calendars.What should the project manager use next?,资源日历 Resource Calendar,协商 Negotiation,募集 Recruitment,技能图 Skills Diagram,B,PMBOK(6)P332- 9.3.2.2谈判。获取资源，优先谈判 其他选项：A，题干中提到查阅完资源日历后该做什么。C，在谈判无果的情况下再考虑招募。D，没有这个工具。
"项目经理从发起人处获悉,由于一项合同要求,必须为项目使用某项特定技术,项目经理发现,一名将被要求使用这项新技术的团队成员之前没有使用过这种技术的经验,公司限制禁止雇佣任何新的团队成员。 项目经理应该做什么?A project manager learns from the sponsor that,due to a contact requirement,a specific technology must be used for the project.The project manager discovers that one team member who will be required to use this new technology,has no previous experience working with it. What should the project manager do?","参考资源管理计划,以确定是否有该团队成员可以参加的已经规划好的培训 Refer to the resource management plan to determine if there is scheduled training in which the team member may participate.","增加该团队成员的任务持续时间,并相应地调整进度计划 Increase the team member's task duration,and adjust the schedule.","修改合同以允许使用不同的技术解决方案,以便所有团队成员都感到舒适 Revise the contract to allow for a different technology solution to be used so that all team members will feel comfortable.",将所有与该技术相关的任务委派给具有该技术经验的团队成员 Delegate all technology-related tasks to a team member who is experienced with technology.,A,PMBOK(6)P342- 9.4.2.6 培训。缺乏某一项技能，且不可雇佣新成员，安排培训来解决，培训在资源管理计划中规划。 其他选项：B直接增加时间不合适，C项目不是为了让成员舒适，D已经明确成员都没有经验了。
"在项目启动大会结束时，项目经理陈述项目范围并让关键相关方和高管提出意见，项目经理正在尝试完成什么目标？At the end of a project kick-off meeting, the project manager restates the project scope and asks for comments from key stakeholders and executives. What objective is the project manager trying to accomplish?",记录需求日志的信息 Record information for the requirements log.,设定团队成员对项目可交付成果的期望 Setting team member's expectations about project deliverables,获得相关方的正式承诺 Obtaining formal commitment from stakeholders,创建项目的范围基准 Creating the project's scope baseline,C,PMBOK（6）P86-4.2.2.4会议。项目开工会议的目标在“传达项目目标、获得团队对项目的承诺，以及阐明每个相关方的角色和职责”。
"在一个敏捷项目的演示期间，项目经理缺席，在审查已完成的工作之后，产品负责人要求进行一项变更，然后获得会议中每个人的一致同意，开发团队立即开始实施这项变更，当项目经理回来工作后，这项变更已经完成，项目经理下一步应该怎么做？during the demon of an agile project, the project manager is absent, after review the completed work, the product owner requests a change, when is then agreed upon by everyone in the room, the development team immediately begins implementing the change， when the project manager returns to work they are faced with after the completed change, what should the project manager do next?",将该不一致性问题通知相关方 Notify stakeholders of the inconsistency,将已完成的变更更新到工作范围中 Update the scope of work with the completed change,与项目团队开会，讨论变更控制过程 Meet with the project team to discuss the change control process,向变更控制委员会(CCB)登记这项变更并请求批准 Log the change with change control board(CCB) and request approval,B,敏捷实践 题目提到“敏捷项目“， 敏捷项目环境，就是拥抱变更的。且是有”产品负责人“提出要变更，敏捷中变更是由 产品负责人（Product Owner）来对产品待办列表进行排序的，因此项目经理不是按照传统流程走CCB，而是直接更新到项目的待办列表即可。 其他选项：ACD都是传统项目的做法。
"在项目启动期间，项目经理进行了成本效益分析，结果为0.6,项目经理下一步应该怎么做？During the project start-up, the project manager conducted a cost-benefit analysis and the result was 0.6. What should the project manager do next?","咨询专家，寻找选择方案，并重新执行分析 Consult experts，look for options,and re-perform the analysis",与项目发起人一起审查结果，以确认项目的可行性 Review the results with the project sponsor to confirm the project's feasibility,审查报告以确定是应该开始项目还是拒绝项目 Examine response to determine if the project should start of be rejected,咨询相关方关于项目的批准情况 Consult with stakeholders about project approval,B,PMBOK（6）P30-1.2.6.1项目商业论证。项目商业论证指文档化的经济可行性报告，用来对尚缺乏充分定义的所选方案的收益进行有效论证。拿到商业论证方案以后，要与项目发起人、主题专家一起就商业论证的结果进行讨论分析，确认项目的可行性或项目边界，而不是再次进行商业论证，排除A选项。 选项C：商业文件只是用来提供建议，具体是否批准要结合关键相关方的期望以及专家判断来决策。例如，由协议/合同而催生立项的项目，是不能够拒绝的。 选项D：尚未批准。
"项目经理在预算范围内按时成功收尾项目，最终产品已移交运营并对适当的文件存档。几周后，供应商提供的一个部件发生故障，但仍在保修期内，运营经理致电项目经理并要求釆取纠正措施，包括使用剩余的项目预算来支付维修费用。项目经理下一步应该怎么做？A Project manager successfully closes out a project on time and under budge, the final product is transferred to the operation and the proper paperwork is filed, a few weeks later, a vendor-supplied part breaks,but is still under warranty, the operation manager calls the project manager and demands corrective actions, including using the remaining project budget to pay for repairs. What should the project manager do next?",重新审查项目，确定是否有足够的剩余资金来支付维修费用，并执行纠正措施 Reopen the project 's determine if there are enough remaining funds to pay for repairs.and perform corrective actions,建议运营经理审查采购文件，并遵循供应商合同中规定的保修索赔程序 Advise the operation manager to review the procurement documents and follow warranty claim procedures as stated in the vendor’s contract,要求法务部门对供应商采取法律行动，以赔偿与更换和安装部件相关的成本 Ask the legal department to take legal action against the vendor for restitution of costs associated with replacement and installation of the part,将问题升级上报给高级管理层，以防止运营经理可能采取任何可能的行动 Escalate the issue to senior management for protection from any potential actions the operation manager may take,B,PMBOK（6）P489-12.2.3.2协议。合同中包括：检查、质量和验收标准；担保和后续产品支持；终止条款和替代争议解决方法等。所以对售后维保产生争议的时候，首先查看合同。 选项A：控制账户已关闭，无法动用资金。 选项C：在选项B之后，根据合同中的约定进行索赔管理。 选项D：不解决问题，解决了发现问题的人。
"一个项目需要进行在一个新国家销售产品的可行性研究,项目经理应该使用什么合同类型?A project requires that a feasibility study be conducted for the sale of products in a new country. What type of contract should the project manager use?",成本加奖励费用合同(CPAF) Cost plus award fee(CPAF).,成本加激励费用合同(CPIF) Cost plus incentive fee(CPIF).,工料合同(T&M) Time and material(T&M).,总价加经济价格调整合同(FP-EPA) Fixed price with economic price adjustment(FP-EPA).,C,PMBOK(6)P471- 12.1.1.6工料合同。因为该项目处在可行性研究阶段，项目的工作范围是还不明确的；而且还是在新国家进行的可行性研究，这个过程一般会采取专家判断法，因此工料合同是合适的。
在一个复杂项目中，项目经理困扰于大量文件，以及如何用最佳方法分发这些文件。项目经理应该查询下列哪一项？During a complex project.a project manager struggles with the amount of documentation and how best to distribute it .What should the project manager consult?,项目管理信息系统(PMIS) Project management information system(PMIS),配置管理系统 Configuration management system,项目相关方沟通需求 Stakeholders’communication needs,绩效报告和问题日志 Performance reports and issue logs,C,PMBOK（6）P377-10.1.3.1沟通管理计划，项目相关方的沟通需求体现在沟通管理计划当中，这道题属于没有最优解选择次优解的解题方式。 选项A：提供信息技术 (IT) 软件工具，是否使用要看沟通管理计划中的约定。 选项B：常用于交付成果指标、功能和版本的管理。 选项D：是对项目执行情况的概述和记录项目执行过程中暴露出来的问题。
项目经理必须管理潜在的相关方利益冲突，相关方参与评估矩阵识别到一个反对项目且有影响力的相关方。项目经理应该如何记录相关方的期望？A project manager must manage potential conflicting stakeholders interests.The stakeholder engagement assessment matrix identifies an influential stakeholder who is resistant to the project. What should the project manager do to sign the stakeholder's expectations?,创建相关方参与计划 Create the stakeholder engagement plan.,与其沟通相关方参与计划 Communicate the stakeholder engagement plan.,与所有相关方开会，对项目目标达成共识 Meet with all stakeholders to gain consensus on project objectives.,更新相关方登记册 Updates the stakeholder register.,D,PMBOK（6）P507-13.1识别相关方。识别相关方是定期识别项目相关方，分析和记录他们的利益、参与度、相互依赖性、影响力和对项目成功的潜在影响的过程。新识别出来的相关方，首先要更新到相关方登记册中，然后根据相关方分析的结果创建相关方参与计划。先D后A。 选项B：相关方参与计划中可能存在敏感信息，容易造成负面影响，所以与其沟通相关方参与计划是错误的。 选项C：与所有相关方开会错误。
"在执行相关方分析时，项目经理识别出两个关键项目相关方之间的负面关系，其中一个相关方正在为项目提供资金。另一个相关方是用户端-客户，他希望包含出资相关方拒绝考虑的其他功能。 项目经理应该如何处理相关方的关系？While performing the stakeholder analysis, the project manager identifies negative relationships between two key stakeholders, one of which is funding the project. Another relevant party is the client-client, who wants to include other functions that the relevant party refuses to consider. How should the project manager handle stakeholder relationships?",只解决提供项目资金的相关方目标 Exclusively address the goals of the stakeholder providing project funding.,只解决用户端-客户的目标 Solely address the goal of the client-client.,在平等基础上对待所有相关方并进行沟通以克服冲突 Address all stakeholders on an equal footing and communicate to overcome conflicts.,战略上只解决问题较少相关方的问题，并避免冲突 Strategically address only the problems of less relevant parties and avoid conflicts.,C,PMBOK(6)13.3.2.3人际关系与团队技能-冲突管理。 意见分歧，属于冲突，合作解决问题。 其他选项：AB是强迫，D是缓解
"你正在管理一个由十名帮助台员工组成的团队，他们在全球服务台上处理客户事件。目前的工作制度强调开发人员从队列中拉取任务，每个开发人员—次最多只能拥有三个任务单。此外，组织中的任何人都可以看到分配给每个人的任务单。你目前使用的是什么方法?You’re managing a team of ten help desk associates who handle customer incidents on a global service desk. The current system of work emphasizes that developers pull work from the queue, and each developer can have no more than three tickets at a time. Besides, anyone in the organization can see the tickets assigned to each individual. What method are you currently using?",看板 Kanban,动态系统开发 Dynamic Systems Development,极限编程 Xtreme Programming,持续改善 Kaizen,A,《敏捷实践指南》第103页。带有卡片的物理看板面板能够推动和实现整个系统中工作流的可视化，让每个人都可以看到，帮助团队进一步提高效率，使障碍更容易被察觉，始终遵循在整个过程中持续拉取单个条目并限制在制品以优化流程的原则。题干中关键字“开发人员从队列中拉取任务”“组织中的任何人都可以看到分配给每个人的任务单”很明显是看板的特点，选项A正确。选项B：动态系统开发是一种敏捷项目交付框架，强调制约因素驱动交付，该框架从一开始便可设置成本、质量和时间，然后利用正式的范围优先级来满足这些制约因素的要求。选项C：极限编程是一种基于频繁交付周期的软件开发方法，将特定最佳实践提炼到最纯粹和最简单的形式，然后在整个项目周期内持续运用该实践。选项D：持续改善不是开发方法，是管理的过程。
项目经理得知发起人一直在与一位团队成员讨论项目进展情况。在与发起人解决这个问题之前，项目经理应该参考哪一份文件？A project manager learns that the sponsor has been discussing project progress with a team member.What document should the project manager refer to before solving the issue with the sponsor?,沟通管理计划 Communications management plan,相关方分析 Stakeholder analysis,风险管理计划 Risk management plan,工作绩效报告 Work performance report,A,PMBOK(6)P377- 10.1.3.1 沟通管理计划。项目的进展情况，属于项目信息问题，应该审核沟通管理计划。 其他选项：其他选项都与项目信息无关
项目团队发现新监管法律可能对项目产生重大影响的风险。发起人要求项目经理进行进一步分析，以确定可能因此而发生的财务损失。项目经理应执行哪一项？A project team discovers a risk that new regulatory laws may significantly impact the project. The sponsor asks the project manager to perform further analysis to identify the financial losses that may occur as a result. Which analysis should the project manager conduct?,成本效益分析 Cost-benefit analysis,定性分析 Qualitative analysis,根本原因分析 Root cause analysis,定量分析 Quantitative analysis,D,PMBOK（6）P428-11.4实施定量风险分析。通过量化整体项目风险敞口，评估项目可能要面临的财务损失。 选项A：用以评估投入与产出效果，例如在质量管理领域测算投入资源和质量水平提升之间的关系。 选项B：对风险进行排序，估算风险发生的概率和影响，但具体的财务损失需要通过定量分析获取。 选项C：用以分析问题发生的原因。
